,host_id,number_of_reviews,neighbourhood_cleansed,host_acceptance_rate,host_response_rate,room_type,amenities,price,host_verifications,bathrooms_text,description,host_name,id,number,type,listing_id
194,10987350,53,3e Arrondissement,100%,100%,Entire home/apt,51,75.0,"['email', 'phone']",1 bath,1000.0,Sophie,2152784,1.0,bath,2152784
195,11090776,0,2e Arrondissement,60%,100%,Private room,36,140.0,"['email', 'phone']",2 shared baths,1000.0,Delphine,2174179,2.0,shared baths,2174179
196,11195394,6,2e Arrondissement,97%,100%,Entire home/apt,26,126.0,"['email', 'phone']",1 bath,1000.0,Yves,2194982,1.0,bath,2194982
197,11229058,69,3e Arrondissement,30%,44%,Private room,25,19.0,"['email', 'phone']",1 shared bath,1000.0,Yo,2201131,1.0,shared bath,2201131
198,3945197,38,1er Arrondissement,64%,100%,Entire home/apt,25,120.0,"['email', 'phone']",1 bath,787.0,Quentin,2202777,1.0,bath,2202777
201,5495624,33,9e Arrondissement,69%,100%,Entire home/apt,30,78.0,"['email', 'phone']",1 bath,1000.0,Thomas,2255579,1.0,bath,2255579
202,10332810,96,9e Arrondissement,61%,100%,Entire home/apt,44,75.0,"['email', 'phone']",1 bath,1000.0,Thierry,2259937,1.0,bath,2259937
203,11621936,53,4e Arrondissement,93%,100%,Private room,43,179.0,"['email', 'phone']",1.5 baths,912.0,Celine,2276120,1.5,baths,2276120
204,11725785,33,5e Arrondissement,90%,80%,Private room,9,50.0,"['email', 'phone']",1 bath,501.0,Odile,2300580,1.0,bath,2300580
205,10986983,313,8e Arrondissement,100%,100%,Entire home/apt,35,59.0,"['email', 'phone']",1 bath,1000.0,Marlene,2302128,1.0,bath,2302128
206,11411984,181,5e Arrondissement,100%,100%,Private room,39,71.0,"['email', 'phone']",1 private bath,987.0,Claude Thierry,2309213,1.0,private bath,2309213
208,8131697,32,2e Arrondissement,67%,100%,Entire home/apt,21,90.0,"['email', 'phone']",1 bath,216.0,Claire,2383043,1.0,bath,2383043
211,7068319,157,5e Arrondissement,98%,89%,Entire home/apt,22,72.0,"['email', 'phone']",1 bath,1000.0,Malio,2400825,1.0,bath,2400825
213,4156965,30,6e Arrondissement,96%,100%,Entire home/apt,26,59.0,"['email', 'phone']",1 bath,1000.0,Emilie,2427874,1.0,bath,2427874
214,12511374,148,5e Arrondissement,89%,100%,Entire home/apt,53,72.0,"['email', 'phone']",1 bath,1000.0,Isabelle,2446767,1.0,bath,2446767
215,12605537,5,6e Arrondissement,50%,100%,Entire home/apt,53,85.0,"['email', 'phone']",1 bath,1000.0,Joan,2465164,1.0,bath,2465164
216,12660907,85,4e Arrondissement,87%,100%,Entire home/apt,30,57.0,"['email', 'phone']",1 bath,1000.0,Anita Et Philippe,2475277,1.0,bath,2475277
217,12916591,6,2e Arrondissement,61%,100%,Private room,26,115.0,"['email', 'phone']",1 private bath,1000.0,Dominique,2522738,1.0,private bath,2522738
218,5916662,168,3e Arrondissement,98%,100%,Private room,19,36.0,"['email', 'phone']",1 shared bath,1000.0,Christiane,2562218,1.0,shared bath,2562218
219,8994443,18,1er Arrondissement,49%,90%,Entire home/apt,14,60.0,"['email', 'phone']",1 bath,190.0,Catherine,2574267,1.0,bath,2574267
220,5117719,14,3e Arrondissement,82%,100%,Entire home/apt,25,65.0,"['email', 'phone']",1 bath,1000.0,Cecile,2598292,1.0,bath,2598292
223,11200925,19,6e Arrondissement,80%,100%,Entire home/apt,17,65.0,"['email', 'phone']",1 bath,1000.0,Françoise,2611038,1.0,bath,2611038
224,3038226,5,1er Arrondissement,92%,100%,Entire home/apt,26,53.0,"['email', 'phone']",1 bath,1000.0,Sophie,2640252,1.0,bath,2640252
225,13565438,20,5e Arrondissement,63%,100%,Entire home/apt,32,90.0,"['email', 'phone']",1 bath,1000.0,Clothilde,2650078,1.0,bath,2650078
227,1271050,21,3e Arrondissement,83%,90%,Entire home/apt,29,84.0,"['email', 'phone']",1 bath,1000.0,Stéphane,2730056,1.0,bath,2730056
228,7523742,34,1er Arrondissement,25%,67%,Entire home/apt,18,54.0,"['email', 'phone']",1 bath,1000.0,Florian,2751852,1.0,bath,2751852
229,14203254,22,7e Arrondissement,66%,100%,Entire home/apt,12,55.0,"['email', 'phone']",1 bath,490.0,Arlette,2777134,1.0,bath,2777134
230,12688592,20,3e Arrondissement,57%,100%,Entire home/apt,22,55.0,"['email', 'phone', 'work_email']",1 bath,566.0,Alain,2810072,1.0,bath,2810072
231,14476350,63,8e Arrondissement,94%,100%,Entire home/apt,39,55.0,"['email', 'phone']",1 bath,1000.0,Christelle,2829757,1.0,bath,2829757
237,14803034,196,6e Arrondissement,56%,100%,Entire home/apt,30,195.0,"['email', 'phone']",1 bath,1000.0,Alain,2896466,1.0,bath,2896466
238,14809773,6,5e Arrondissement,20%,43%,Private room,15,30.0,"['email', 'phone']",1 bath,766.0,Sébastien,2897630,1.0,bath,2897630
239,14843562,44,6e Arrondissement,100%,100%,Entire home/apt,48,58.0,"['email', 'phone']",1 bath,1000.0,Patricia Et Thierry,2905485,1.0,bath,2905485
241,14889811,131,1er Arrondissement,56%,80%,Entire home/apt,20,113.0,"['email', 'phone']",1 bath,1000.0,Karine,2915632,1.0,bath,2915632
243,15183338,50,6e Arrondissement,36%,60%,Entire home/apt,16,59.0,"['email', 'phone']",1 bath,1000.0,Agathe,2976822,1.0,bath,2976822
245,14889811,27,1er Arrondissement,56%,80%,Private room,17,36.0,"['email', 'phone']",1 shared bath,1000.0,Karine,2987786,1.0,shared bath,2987786
247,1466676,43,5e Arrondissement,81%,100%,Private room,47,55.0,"['email', 'phone', 'work_email']",1 private bath,1000.0,Matthieu Hélène,3014179,1.0,private bath,3014179
249,15439546,15,6e Arrondissement,95%,100%,Entire home/apt,48,58.0,"['email', 'phone']",1 bath,1000.0,Silvere,3031245,1.0,bath,3031245
250,15479272,15,5e Arrondissement,75%,100%,Entire home/apt,25,64.0,"['email', 'phone']",1 bath,1000.0,Valérie Et Marlène,3039971,1.0,bath,3039971
251,7576474,801,3e Arrondissement,100%,98%,Entire home/apt,30,163.0,"['email', 'phone']",1 bath,1000.0,Nicolas,3045207,1.0,bath,3045207
252,15665972,149,9e Arrondissement,86%,100%,Entire home/apt,35,60.0,"['email', 'phone']",1 bath,1000.0,Celine,3078335,1.0,bath,3078335
254,3596049,52,2e Arrondissement,76%,91%,Private room,40,52.0,"['email', 'phone', 'work_email']",1 shared bath,707.0,Emmanuel,3080845,1.0,shared bath,3080845
