,host_id,number_of_reviews,neighbourhood_cleansed,host_acceptance_rate,host_response_rate,room_type,amenities,price,host_verifications,bathrooms_text,description,host_name,id,number,type,listing_id
0,65046505,6,Sames,95%,100%,Entire home/apt,31,166.0,"['email', 'phone', 'work_email']",1 bath,949.0,Eric & Remy,12445064,1.0,bath,12445064
1,41085325,10,Montory,91%,100%,Entire home/apt,40,77.0,"['email', 'phone']",2 baths,1000.0,Patrice Et Sylvie,7805305,2.0,baths,7805305
2,139586619,3,Guiche,78%,100%,Entire home/apt,40,107.0,"['email', 'phone']",1 bath,489.0,Nathalie,50333916,1.0,bath,50333916
3,31471687,94,Boucau,100%,100%,Private room,29,55.0,"['email', 'phone']",1 private bath,710.0,Helene,6083973,1.0,private bath,6083973
4,14992633,7,Guiche,67%,90%,Entire home/apt,49,776.0,"['email', 'phone']",4.5 baths,1000.0,Marc,14206878,4.5,baths,14206878
5,264537871,62,Bayonne,96%,100%,Entire home/apt,31,67.0,['phone'],1 bath,1000.0,Nathalie Et William,35121979,1.0,bath,35121979
6,50870131,2,Sames,100%,90%,Entire home/apt,33,50.0,"['email', 'phone']",1 bath,439.0,Jean,662805877765489344,1.0,bath,662805877765489344
7,269427824,130,Boucau,98%,100%,Entire home/apt,34,47.0,['phone'],1 bath,1000.0,Eric,35815671,1.0,bath,35815671
8,70553007,91,Hendaye,100%,100%,Entire home/apt,28,64.0,"['email', 'phone']",1 bath,841.0,Luis J.,25410500,1.0,bath,25410500
9,78058732,37,Hendaye,100%,91%,Entire home/apt,23,122.0,"['email', 'phone']",1 bath,1000.0,Eva Y Mikel,43584343,1.0,bath,43584343
10,323576480,7,Bayonne,100%,100%,Entire home/apt,17,55.0,"['email', 'phone']",1 bath,496.0,Sandrine,661524060302812776,1.0,bath,661524060302812776
11,145648197,76,Hendaye,96%,100%,Entire home/apt,34,83.0,"['email', 'phone']",1 bath,482.0,Lourdes,20422512,1.0,bath,20422512
12,30980998,1,Sames,100%,100%,Entire home/apt,9,100.0,"['email', 'phone']",1 bath,237.0,Christelle,50523087,1.0,bath,50523087
13,61808332,145,Hendaye,98%,100%,Entire home/apt,55,120.0,"['email', 'phone']",1 bath,1000.0,Alberto,28132903,1.0,bath,28132903
14,194713065,70,Hendaye,100%,100%,Entire home/apt,30,59.0,"['email', 'phone']",1 bath,1000.0,Helen,25912844,1.0,bath,25912844
15,117422992,13,Hendaye,99%,100%,Entire home/apt,31,137.0,"['email', 'phone', 'work_email']",1 bath,821.0,Basquenjoy,26242571,1.0,bath,26242571
16,152551202,71,Ainhoa,100%,100%,Entire home/apt,23,60.0,"['email', 'phone']",1 bath,403.0,Gema,21143717,1.0,bath,21143717
17,184989162,53,Hendaye,89%,100%,Entire home/apt,26,95.0,['phone'],2 baths,505.0,Maider,24489278,2.0,baths,24489278
18,247257197,3,Boucau,79%,100%,Entire home/apt,20,500.0,"['email', 'phone']",1 bath,437.0,Lea,44639048,1.0,bath,44639048
19,35542737,24,Boucau,98%,100%,Entire home/apt,27,53.0,"['email', 'phone']",1 bath,307.0,Bernard,620073339778807934,1.0,bath,620073339778807934
21,12940952,5,Barcus,60%,100%,Entire home/apt,12,50.0,"['email', 'phone']",1.5 baths,511.0,Bernadette,2527060,1.5,baths,2527060
22,56606288,44,Urcuit,100%,100%,Entire home/apt,20,69.0,"['email', 'phone']",1 bath,1000.0,Julie,43033476,1.0,bath,43033476
23,138601096,15,Biarritz,27%,100%,Entire home/apt,31,60.0,"['email', 'phone']",1 bath,1000.0,Val,23596485,1.0,bath,23596485
24,2205453,3,Arn̩guy,100%,83%,Entire home/apt,24,124.0,"['email', 'phone']",1 bath,259.0,Mendiola,27421015,1.0,bath,27421015
25,66241520,17,Sames,100%,100%,Entire home/apt,36,93.0,"['email', 'phone']",1 bath,1000.0,Florence,21592845,1.0,bath,21592845
26,51629844,23,Boucau,100%,100%,Entire home/apt,52,70.0,"['email', 'phone']",1 bath,1000.0,Gilles,43712137,1.0,bath,43712137
28,422964867,9,Ainhoa,79%,100%,Entire home/apt,18,104.0,"['email', 'phone']",1 bath,316.0,Beatriz,52253028,1.0,bath,52253028
29,80463557,14,Hendaye,100%,100%,Entire home/apt,26,161.0,"['email', 'phone']",1 bath,1000.0,"Smiling Rentals, S.L.",50215487,1.0,bath,50215487
30,238861500,5,Lasse,100%,100%,Entire home/apt,15,150.0,"['email', 'phone']",2 baths,759.0,Anthony,31869671,2.0,baths,31869671
31,128326472,96,Sare,73%,100%,Entire home/apt,39,133.0,"['email', 'phone', 'work_email']",2 baths,1000.0,Arantxa,19981689,2.0,baths,19981689
32,152551202,40,Ainhoa,100%,100%,Entire home/apt,35,80.0,"['email', 'phone']",1 bath,263.0,Gema,24910761,1.0,bath,24910761
33,434944150,43,Boucau,100%,100%,Entire home/apt,41,50.0,"['email', 'phone']",1 bath,926.0,Cyril,53703108,1.0,bath,53703108
36,29812620,4,Boucau,100%,100%,Entire home/apt,26,95.0,"['email', 'phone']",1 bath,510.0,Celine,662933179420113242,1.0,bath,662933179420113242
37,422964867,1,Ainhoa,79%,100%,Entire home/apt,10,94.0,"['email', 'phone']",1 bath,409.0,Beatriz,625823818106152228,1.0,bath,625823818106152228
38,117422992,0,Hendaye,99%,100%,Entire home/apt,46,153.0,"['email', 'phone', 'work_email']",2 baths,555.0,Basquenjoy,599803900788473801,2.0,baths,599803900788473801
39,43412761,167,Boucau,93%,100%,Entire home/apt,45,58.0,"['email', 'phone']",1 bath,1000.0,Anne,16697067,1.0,bath,16697067
40,9460789,11,Hendaye,96%,100%,Private room,52,91.0,"['email', 'phone']",1 private bath,864.0,Romy,44827988,1.0,private bath,44827988
41,82813377,38,Boucau,100%,100%,Entire home/apt,17,55.0,"['email', 'phone']",1 bath,891.0,Jean Claude,13933339,1.0,bath,13933339
42,269062676,69,Biarritz,98%,100%,Entire home/apt,33,130.0,"['email', 'phone']",1 bath,810.0,Valerie,35766699,1.0,bath,35766699
43,418135407,1,Hendaye,100%,90%,Entire home/apt,25,143.0,"['email', 'phone']",1 bath,1000.0,Basquelidays,624526744452310283,1.0,bath,624526744452310283
44,9258155,32,Boucau,100%,100%,Entire home/apt,25,85.0,"['email', 'phone']",1 bath,723.0,Magali,5202413,1.0,bath,5202413
45,15810421,53,Boucau,100%,100%,Private room,30,100.0,"['email', 'phone']",1 private bath,661.0,Marco,3111063,1.0,private bath,3111063
